lab4.cpp
lab4.err
lab4.out
lab4.sh
t v x
x=0.5
0.552 -0.15303 0.0458377
0.554 -0.163642 0.0455316
0.556 -0.174194 0.0452044
0.558 -0.184683 0.044856
0.56 -0.195103 0.0444866
0.562 -0.205452 0.0440964
0.564 -0.215725 0.0436855
0.566 -0.225917 0.0432541
0.568 -0.236025 0.0428022
0.57 -0.246045 0.0423302
0.572 -0.255972 0.0418381
0.574 -0.265802 0.0413261
0.576 -0.27553 0.0407945
0.578 -0.285153 0.0402435
0.58 -0.294665 0.0396732
0.582 -0.304063 0.0390838
0.584 -0.313342 0.0384757
0.586 -0.322497 0.037849
0.588 -0.331525 0.037204
0.59 -0.340419 0.036541
0.592 -0.349176 0.0358601
0.594 -0.357791 0.0351618
0.596 -0.36626 0.0344462
0.598 -0.374577 0.0337137
0.6 -0.382738 0.0329645
0.602 -0.390737 0.0321991
0.604 -0.398571 0.0314176
0.606 -0.406234 0.0306204
0.608 -0.413721 0.029808
0.61 -0.421028 0.0289805
0.612 -0.428149 0.0281385
0.614 -0.43508 0.0272822
0.616 -0.441815 0.026412
0.618 -0.44835 0.0255284
0.62 -0.454679 0.0246317
0.622 -0.460797 0.0237223
0.624 -0.4667 0.0228007
0.626 -0.472383 0.0218673
0.628 -0.47784 0.0209226
0.63 -0.483066 0.0199669
0.632 -0.488056 0.0190008
0.634 -0.492806 0.0180246
0.636 -0.497311 0.017039
0.638 -0.501565 0.0160444
0.64 -0.505564 0.0150413
0.642 -0.509303 0.0140301
0.644 -0.512777 0.0130115
0.646 -0.515982 0.011986
0.648 -0.518913 0.010954
0.65 -0.521565 0.0099162
0.652 -0.523934 0.00887307
0.654 -0.526015 0.0078252
0.656 -0.527805 0.00677317
0.658 -0.529299 0.00571756
0.66 -0.530493 0.00465896
0.662 -0.531384 0.00359798
0.664 -0.531967 0.00253521
0.666 -0.532239 0.00147127
0.668 -0.532196 0.000406797
0.67 -0.531836 -0.000657595
0.672 -0.531154 -0.00172127
0.674 -0.530149 -0.00278358
0.676 -0.528818 -0.00384387
0.678 -0.527157 -0.00490151
0.68 -0.525165 -0.00595582
0.682 -0.52284 -0.00700615
0.684 -0.52018 -0.00805183
0.686 -0.517183 -0.00909219
0.688 -0.513849 -0.0101266
0.69 -0.510175 -0.0111543
0.692 -0.506162 -0.0121746
0.694 -0.501808 -0.0131869
0.696 -0.497114 -0.0141905
0.698 -0.492081 -0.0151848
0.7 -0.486707 -0.0161689
0.702 -0.480995 -0.0171424
0.704 -0.474945 -0.0181043
0.706 -0.468558 -0.0190542
0.708 -0.461837 -0.0199913
0.71 -0.454784 -0.020915
0.712 -0.447402 -0.0218246
0.714 -0.439692 -0.0227194
0.716 -0.431659 -0.0235988
0.718 -0.423305 -0.0244621
0.72 -0.414636 -0.0253087
0.722 -0.405655 -0.026138
0.724 -0.396367 -0.0269493
0.726 -0.386777 -0.027742
0.728 -0.376891 -0.0285156
0.73 -0.366715 -0.0292694
0.732 -0.356254 -0.0300028
0.734 -0.345516 -0.0307153
0.736 -0.334507 -0.0314063
0.738 -0.323235 -0.0320753
0.74 -0.311707 -0.0327218
0.742 -0.299932 -0.0333452
0.744 -0.287918 -0.0339451
0.746 -0.275674 -0.0345209
0.748 -0.263209 -0.0350723
0.75 -0.250531 -0.0355987
0.752 -0.237652 -0.0360998
0.754 -0.22458 -0.0365751
0.756 -0.211327 -0.0370242
0.758 -0.197902 -0.0374469
0.76 -0.184316 -0.0378427
0.762 -0.170582 -0.0382113
0.764 -0.156708 -0.0385525
0.766 -0.142708 -0.0388659
0.768 -0.128593 -0.0391513
0.77 -0.114375 -0.0394085
0.772 -0.100066 -0.0396372
0.774 -0.0856768 -0.0398374
0.776 -0.0712212 -0.0400087
0.778 -0.056711 -0.0401512
0.78 -0.0421587 -0.0402646
0.782 -0.0275768 -0.0403489
0.784 -0.0129778 -0.0404041
0.786 0.0016257 -0.04043
0.788 0.0162212 -0.0404268
0.79 0.030796 -0.0403943
0.792 0.0453378 -0.0403327
0.794 0.0598341 -0.0402421
0.796 0.0742725 -0.0401224
0.798 0.0886407 -0.0399738
0.8 0.102927 -0.0397966
0.802 0.117118 -0.0395907
0.804 0.131203 -0.0393565
0.806 0.145171 -0.0390941
0.808 0.159009 -0.0388037
0.81 0.172706 -0.0384857
0.812 0.186252 -0.0381403
0.814 0.199635 -0.0377678
0.816 0.212845 -0.0373685
0.818 0.225871 -0.0369428
0.82 0.238704 -0.0364911
0.822 0.251333 -0.0360137
0.824 0.26375 -0.035511
0.826 0.275944 -0.0349835
0.828 0.287908 -0.0344316
0.83 0.299633 -0.0338558
0.832 0.31111 -0.0332565
0.834 0.322332 -0.0326343
0.836 0.333292 -0.0319897
0.838 0.343982 -0.0313231
0.84 0.354395 -0.0306351
0.842 0.364526 -0.0299263
0.844 0.374368 -0.0291973
0.846 0.383915 -0.0284485
0.848 0.393163 -0.0276807
0.85 0.402107 -0.0268944
0.852 0.410741 -0.0260902
0.854 0.419063 -0.0252687
0.856 0.427067 -0.0244306
0.858 0.434752 -0.0235764
0.86 0.442113 -0.0227069
0.862 0.449148 -0.0218227
0.864 0.455855 -0.0209244
0.866 0.462232 -0.0200127
0.868 0.468277 -0.0190882
0.87 0.473989 -0.0181517
0.872 0.479366 -0.0172037
0.874 0.484409 -0.016245
0.876 0.489117 -0.0152761
0.878 0.49349 -0.0142979
0.88 0.497529 -0.0133109
0.882 0.501232 -0.0123159
0.884 0.504603 -0.0113134
0.886 0.507641 -0.0103042
0.888 0.510349 -0.00928892
0.89 0.512727 -0.00826822
0.892 0.514778 -0.00724276
0.894 0.516503 -0.00621321
0.896 0.517905 -0.0051802
0.898 0.518987 -0.00414439
0.9 0.519751 -0.00310642
0.902 0.520201 -0.00206692
0.904 0.520338 -0.00102651
0.906 0.520167 1.41627e-05
0.908 0.519691 0.0010545
0.91 0.518914 0.00209388
0.912 0.517839 0.00313171
0.914 0.516469 0.00416738
0.916 0.51481 0.00520032
0.918 0.512866 0.00622994
0.92 0.510639 0.00725567
0.922 0.508135 0.00827695
0.924 0.505358 0.00929322
0.926 0.502313 0.0103039
0.928 0.499004 0.0113086
0.93 0.495436 0.0123066
0.932 0.491613 0.0132974
0.934 0.48754 0.0142807
0.936 0.483221 0.0152558
0.938 0.478663 0.0162222
0.94 0.473869 0.0171795
0.942 0.468844 0.0181273
0.944 0.463594 0.0190649
0.946 0.458123 0.0199921
0.948 0.452436 0.0209084
0.95 0.446537 0.0218133
0.952 0.440433 0.0227063
0.954 0.434128 0.0235872
0.956 0.427626 0.0244554
0.958 0.420933 0.0253107
0.96 0.414054 0.0261526
0.962 0.406992 0.0269807
0.964 0.399755 0.0277947
0.966 0.392345 0.0285942
0.968 0.384768 0.0293789
0.97 0.377029 0.0301484
0.972 0.369133 0.0309025
0.974 0.361084 0.0316407
0.976 0.352886 0.0323629
0.978 0.344546 0.0330687
0.98 0.336066 0.0337578
0.982 0.327452 0.0344299
0.984 0.318709 0.0350848
0.986 0.30984 0.0357222
0.988 0.300851 0.0363419
0.99 0.291745 0.0369436
0.992 0.282528 0.0375271
0.994 0.273203 0.0380921
0.996 0.263776 0.0386385
0.998 0.254249 0.0391661
1 0.244628 0.0396746
1.002 0.234917 0.0401638
1.004 0.225119 0.0406337
1.006 0.21524 0.0410839
1.008 0.205283 0.0415144
1.01 0.195252 0.041925
1.012 0.185151 0.0423155
1.014 0.174985 0.0426858
1.016 0.164757 0.0430357
1.018 0.154471 0.0433652
1.02 0.144132 0.0436742
1.022 0.133743 0.0439625
1.024 0.123308 0.0442299
1.026 0.112831 0.0444766
1.028 0.102316 0.0447022
1.03 0.0917668 0.0449069
1.032 0.081187 0.0450904
1.034 0.0705804 0.0452528
1.036 0.0599509 0.0453939
1.038 0.0493023 0.0455138
1.04 0.0386384 0.0456124
1.042 0.0279629 0.0456897
1.044 0.0172795 0.0457456
1.046 0.00659214 0.0457802
1.048 -0.0040956 0.0457934
1.05 -0.0147799 0.0457852
1.052 -0.025457 0.0457556
1.054 -0.0361233 0.0457047
1.056 -0.0467748 0.0456325
1.058 -0.0574079 0.0455389
1.06 -0.0680188 0.0454241
1.062 -0.0786036 0.0452881
1.064 -0.0891587 0.0451309
1.066 -0.0996802 0.0449525
1.068 -0.110164 0.0447532
1.07 -0.120607 0.0445328
1.072 -0.131005 0.0442916
1.074 -0.141353 0.0440296
1.076 -0.151649 0.0437469
1.078 -0.161888 0.0434436
1.08 -0.172067 0.0431198
1.082 -0.18218 0.0427757
1.084 -0.192225 0.0424113
1.086 -0.202197 0.0420269
1.088 -0.212092 0.0416225
1.09 -0.221907 0.0411983
1.092 -0.231636 0.0407545
1.094 -0.241276 0.0402912
1.096 -0.250823 0.0398087
1.098 -0.260272 0.039307
1.1 -0.26962 0.0387865
1.102 -0.278861 0.0382473
1.104 -0.287993 0.0376895
1.106 -0.297009 0.0371135
1.108 -0.305906 0.0365195
1.11 -0.31468 0.0359077
1.112 -0.323326 0.0352784
1.114 -0.331839 0.0346317
1.116 -0.340215 0.033968
1.118 -0.34845 0.0332876
